Name	Molecular form	Microbe	Strain	Target	PubMed ID
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L4	12623020
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L22	12623020
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L4	15509870
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L4	15851032
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L22	15851032
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L22	15996971
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L22	16940070
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L4	17014718
Erythromycin	C37H67NO13	Escherichia coli 	O157:H7	50S ribosomal protein L22	17014718
Erythromycin	C37H67NO13	Enteric bacteria and other eubacteria 	Not Specified	23S rRNA	18533733
Erythromycin	C37H67NO13	Propionibacterium acnes	LMG 16711	N/A	24251377
Erythromycin	C37H67NO13	Propionibacterium acnes	LMG 16712	N/A	24251377
Erythromycin	C37H67NO13	Propionibacterium acnes	LMG 16715	N/A	24251377
Esculentin	C102H182N28O24	Pseudomonas aeruginosa	PAO1	N/A	23503622
Esculetin	C9H6O4	Pseudomonas aeruginosa	PAO1	N/A	18330563
Esculetin	C9H6O4	Burkholderia cenocepacia	LMG 18828	N/A	19146953
Esculetin	C9H6O4	Burkholderia cenocepacia	LMG 16656	N/A	19146953
Esculetin	C9H6O4	Burkholderia multivorans	LMG 13010	N/A	19146953
Esculetin	C9H6O4	Burkholderia multivorans	LMG 17588	N/A	19146953
Esculetin	C9H6O4	Escherichia coli	O157:H7	N/A	25027570
Esculin	C15H16O9	Pseudomonas aeruginosa	PAO1	N/A	18330563
Esculin hydrate	C15H18O10	Burkholderia cenocepacia	LMG 18828	N/A	19146953
Esculin hydrate	C15H18O10	Burkholderia cenocepacia	LMG 16656	N/A	19146953
Esculin hydrate	C15H18O10	Burkholderia multivorans	LMG 13010	N/A	19146953
Esculin hydrate	C15H18O10	Burkholderia multivorans	LMG 17588	N/A	19146953
Esomeprazole	C17H19N3O3S	Bacillus subtilis	ATCC 39087	N/A	25038633
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase B	11854934
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase A	15546869
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase C	15546869
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase B	16127055
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase C	16585755
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase A	16595677
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase B	16641474
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase A	17016423
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase B	17016423
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase C	17016423
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase A	17139284
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase B	17139284
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase C	17139284
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase A	17630736
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase C	17630736
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase A	19596878
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase B	19596878
Ethambutol	C10H24N2O2	Mycobacterium tuberculosis	Not Specified	Probable arabinosyltransferase C	19596878
"Ethane-1,2-diamine"	C2H8N2	Serratia marcescens	ATCC 27117	N/A	28350449
Ethyl acetate	C4H8O2	Staphylococcus aureus	MRSA	N/A	26004723
Ethyl gallate	C9H10O5	Pseudomonas aeruginosa	ATCC 25923	N/A	2401679
Ethyl gallate	C9H10O5	Enterococcus faecalis	ATCC 19433	N/A	24016798
Ethyl gallate	C9H10O5	Staphylococcus aureus	ATCC 25923	N/A	24016798
Ethyl gallate	C9H10O5	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
Ethyl gallate	C9H10O5	Streptococcus mutans	ATCC 25175	N/A	24016798
Ethylene glycol tetraacetic acid	C14H24N2O10	Staphylococcus aureus	007/FV (MRSA)	N/A	23712617
Ethylene glycol tetraacetic acid	C14H24N2O10	Staphylococcus aureus	011/LP (MRSA)	N/A	23712617
Ethylene glycol tetraacetic acid	C14H24N2O10	Staphylococcus aureus	028/FV (MRSA)	N/A	23712617
Ethylene glycol tetraacetic acid	C14H24N2O10	Staphylococcus aureus	5668/B	N/A	23712617
Ethylene glycol tetraacetic acid	C14H24N2O10	Staphylococcus aureus	5741/B	N/A	23712617
Ethylene glycol tetraacetic acid	C14H24N2O10	Staphylococcus aureus	1532/SW	N/A	23712617
Ethylene glycol tetraacetic acid	C14H24N2O10	Staphylococcus aureus	1620/SW	N/A	23712617
Ethylenediametetraacetic acid	C10H16N2O8	Bacillus subtilis	Not Specified	N/A	18787817
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM13	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM14	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM15	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM19	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM21	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM22	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM31	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Listeria monocytogenes	LM32	N/A	22029913
Ethylenediametetraacetic acid	C10H16N2O8	Halomonas pacifica	ATCC 27122	N/A	24166155
Eucarobustol E	C27H37O6	Candida albicans	SC5314	N/A	28584159
Eugenol	C10H12O2	Pseudomonas aeruginosa	PAO1	N/A	23264268
Eugenol	C10H12O2	Staphylococcus aureus	MSSA ATCCb 29213	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA CCARMa3969	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA CCARM 3912	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA CCARM 3903	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA CCARM 3807	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA CCARM 3108	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA (Wound)	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA (Nasal cavity)	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA (catheter)	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MSSA (Blood)	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MSSA (Pus)	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MSSA (Ear discharge)	N/A	25781975
Eugenol	C10H12O2	Staphylococcus aureus	MRSA (Urine)	N/A	25781975
Eugenol	C10H12O2	Escherichia coli	O157:H7	N/A	27808174
Eugenol	C10H12O2	Escherichia coli	BW25113	N/A	27808174
Eugenol	C10H12O2	Escherichia coli	MG1655	N/A	27808174
Evodiamine	C19H17N3O	Campylobacter jejuni	NCTC 11168	N/A	27230628
"F2,5,12W"	C100H160N38O16	Staphylococcus epidermidis	BM185	N/A	21376541
"F2,5,12W"	C100H160N38O16	Staphylococcus epidermidis	BM492	N/A	21376541
Farnesol	C15H26O	Candida albicans	SC5314	N/A	12406738
Farnesol	C15H26O	Candida albicans	CAF2-1	N/A	15302838
Farnesol	C15H26O	Candida albicans	CHK23	N/A	15302838
Farnesol	C15H26O	Candida parapsilosis	74/046	N/A	15817776
Farnesol	C15H26O	Staphylococcus aureus	MSSA	N/A	16569866
Farnesol	C15H26O	Candida albicans	GDH 2346	N/A	16980403
Farnesol	C15H26O	Burkholderia cenocepacia	LMG 18828	N/A	19146953
Farnesol	C15H26O	Burkholderia cenocepacia	LMG 16656	N/A	19146953
Farnesol	C15H26O	Burkholderia multivorans	LMG 13010	N/A	19146953
Farnesol	C15H26O	Burkholderia multivorans	LMG 17588	N/A	19146953
Farnesol	C15H26O	Candida albicans	ATCC 76615	N/A	20641010
Farnesol	C15H26O	Candida albicans	ATCC 90028	N/A	20641010
Farnesol	C15H26O	Candida albicans	SC5314	N/A	20641010
Farnesol	C15H26O	Candida dubliniensis	CBS8500	N/A	20641010
Farnesol	C15H26O	Candida parapsilosis	Y0501	N/A	20641010
Farnesol	C15H26O	Candida tropicalis	ATCC 750	N/A	20641010
Farnesol	C15H26O	Staphylococcus epidermidis	ATCC 55133	N/A	21857375
Farnesol	C15H26O	Staphylococcus epidermidis	1457	N/A	21857375
Farnesol	C15H26O	Staphylococcus epidermidis	1457 ¦¤?agr	N/A	21857375
Farnesol	C15H26O	Staphylococcus epidermidis	1457 ¦¤?luxS	N/A	21857375
faropenem medoxomil	C17H19NO8S	Escherichia coli 	O157:H7	Peptidoglycan synthase FtsI	12886052
faropenem medoxomil	C17H19NO8S	Streptococcus pneumoniae serotype 4	ATCC BAA-334	Penicillin-binding protein 2B	12886052
faropenem medoxomil	C17H19NO8S	Streptococcus pneumoniae serotype 4	ATCC BAA-334	Penicillin-binding protein 1A	12886052
faropenem medoxomil	C17H19NO8S	Streptococcus pneumoniae serotype 4	TIGR4	Penicillin-binding protein 2B	12886052
faropenem medoxomil	C17H19NO8S	Streptococcus pneumoniae serotype 4	TIGR4	Penicillin-binding protein 1A	12886052
Fenclonine	C9H10ClNO2	Staphylococcus aureus	SC01	N/A	25658642
Fenclonine	C9H10ClNO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
Ferric chloride	Cl3Fe	Klebsiella pneumoniae	B5055	N/A	23889975
Ferrous	Fe+2	Pseudomonas aeruginosa	PAO1	N/A	24958247
Ferulic Acid	C10H10O4	Pseudomonas aeruginosa	PAO1	N/A	18330563
Ferulic Acid	C10H10O4	Staphylococcus aureus	UAMS-1	N/A	22242149
Ferulic Acid	C10H10O4	Escherichia coli	O157:H7 (ATCC 43895)	N/A	24067082
FK506	C44H69NO12	Candida albicans	BWP17	N/A	21903824
Flavone	C15H10O2	Escherichia coli	O157:H7 (ATCC 43895)	N/A	21930760
Flavonoids 3	C17H16O6	Vibrio harveyi	BB120	N/A	26070141
Flavonoids 7	C17H16O6	Vibrio harveyi	BB120	N/A	26070141
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	ATCC 51907	DNA gyrase subunit A	8861529
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	DSM 11121	DNA gyrase subunit A	8861529
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	KW20 	DNA gyrase subunit A	8861529
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	Rd	DNA gyrase subunit A	8861529
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	ATCC 51907	DNA topoisomerase 4 subunit A	9293187
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	DSM 11121	DNA topoisomerase 4 subunit A	9293187
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	KW20 	DNA topoisomerase 4 subunit A	9293187
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	Rd	DNA topoisomerase 4 subunit A	9293187
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	ATCC 51907	DNA topoisomerase 4 subunit A	12473806
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	DSM 11121	DNA topoisomerase 4 subunit A	12473806
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	KW20 	DNA topoisomerase 4 subunit A	12473806
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	Rd	DNA topoisomerase 4 subunit A	12473806
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	ATCC 51907	DNA gyrase subunit A	15857125
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	DSM 11121	DNA gyrase subunit A	15857125
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	KW20 	DNA gyrase subunit A	15857125
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	Rd	DNA gyrase subunit A	15857125
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	ATCC 51907	DNA topoisomerase 4 subunit A	16034208
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	DSM 11121	DNA topoisomerase 4 subunit A	16034208
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	KW20 	DNA topoisomerase 4 subunit A	16034208
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	Rd	DNA topoisomerase 4 subunit A	16034208
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	ATCC 51907	DNA topoisomerase 4 subunit A	16517894
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	DSM 11121	DNA topoisomerase 4 subunit A	16517894
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	KW20 	DNA topoisomerase 4 subunit A	16517894
Fleroxacin	C17H18F3N3O3	Haemophilus influenzae	Rd	DNA topoisomerase 4 subunit A	16517894
Floxacillin?	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	318800
Floxacillin?	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	318800
Floxacillin?	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	6335600
Floxacillin?	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	6335600
Floxacillin?	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	18266857
Floxacillin?	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	18266857
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	318800
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	318800
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	6335600
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	6335600
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	17016423
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	17016423
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	17139284
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	17139284
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	13	Penicillin-binding protein 1A	18266857
Flucloxacillin	C19H17ClFN3O5S	Clostridium perfringens 	Type A	Penicillin-binding protein 1A	18266857
Fluconazole	C13H12F2N6O	Candida albicans	SC5314	Lanosterol 14-alpha demethylase	15314102
Fluconazole	C13H12F2N6O	Candida albicans	ATCC MYA-2876	Lanosterol 14-alpha demethylase	15314102
Fluconazole	C13H12F2N6O	Candida albicans	SC5314	Lanosterol 14-alpha demethylase	16966178
Fluconazole	C13H12F2N6O	Candida albicans	ATCC MYA-2876	Lanosterol 14-alpha demethylase	16966178
Fluconazole	C13H12F2N6O	Candida albicans	SC5314	Lanosterol 14-alpha demethylase	16966400
Fluconazole	C13H12F2N6O	Candida albicans	ATCC MYA-2876	Lanosterol 14-alpha demethylase	16966400
Fluconazole	C13H12F2N6O	Candida albicans	CAI4	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CAPR306A	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CAPR518	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CAPR514	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CAPR518A	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CAPR514A	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CAPR507	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CAPR510	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CI 158	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CI 168	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CI 113	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CI 127	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CI 166	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CI 190	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	SH 855	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	CHK21	N/A	17261564
Fluconazole	C13H12F2N6O	Candida albicans	14053	N/A	21924600
Fluconazole	C13H12F2N6O	Candida albicans	SC5314	N/A	23689719
Fluconazole	C13H12F2N6O	Candida albicans	DAY185	N/A	28155334
Fluperlapine	C19H20FN3	Candida albicans	BWP17	N/A	21903824
Fluspiriline	C29H31F2N3O	Candida albicans	BWP17	N/A	21903824
Fosamprenavir	C25H36N3O9PS	Human immunodeficiency virus 1	Not Specified	Pol polyprotein	11752352
Fosamprenavir	C25H36N3O9PS	Human immunodeficiency virus 1	Not Specified	Pol polyprotein	14693528
Fosamprenavir	C25H36N3O9PS	Human immunodeficiency virus 1	Not Specified	Pol polyprotein	14982766
Fosamprenavir	C25H36N3O9PS	Human immunodeficiency virus 1	Not Specified	Pol polyprotein	15116286
Fosamprenavir	C25H36N3O9PS	Human immunodeficiency virus 1	Not Specified	Pol polyprotein	16485915
Fosamprenavir	C25H36N3O9PS	Human immunodeficiency virus 1	Not Specified	Pol polyprotein	18042502
Fosaphenytoin	C16H15N2O6P	Candida albicans	ATCC 10231	N/A	26241210
Fosaphenytoin	C16H15N2O6P	Candida albicans	ATCC 90028	N/A	26241210
Fosfomycin	C3H7O4P	Escherichia coli	K12	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	7608103
Fosfomycin	C3H7O4P	Escherichia coli	K12	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	8664284
Fosfomycin	C3H7O4P	Escherichia coli	K12	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	10529188
Fosfomycin	C3H7O4P	Escherichia coli	K12	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	12562791
Fosfomycin	C3H7O4P	Escherichia coli	K12	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	15531591
Fosfomycin	C3H7O4P	Escherichia coli	K12	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	17016423
Fosfomycin	C3H7O4P	Escherichia coli	K12	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	17139284
Framycetin	C3H7O4P	Escherichia coli	K12	30S ribosomal protein S12	8605174
Framycetin	C3H7O4P	Enteric bacteria and other eubacteria	Not Specified	16S rRNA	17016423
Framycetin	C3H7O4P	Escherichia coli	K12	30S ribosomal protein S12	17016423
Framycetin	C3H7O4P	Enteric bacteria and other eubacteria	Not Specified	16S rRNA	17139284
Framycetin	C3H7O4P	Escherichia coli	K12	30S ribosomal protein S12	17139284
Framycetin	C3H7O4P	Enteric bacteria and other eubacteria	Not Specified	16S rRNA	17399988
Fraxin	C16H18O10	Pseudomonas aeruginosa	PAO1	N/A	21852522
Fraxin	C16H18O10	Stenotrophomonas maltophilia	GIMT1.118	N/A	21852522
FS8	C39H51N9O11	Staphylococcus aureus	Smith diffuse (SD)	N/A	23965956
Furanone	C4H4O2	Pseudomonas aeruginosa	PAO1	N/A	22884365
Furanone 56	C5H3BrO2	Pseudomonas aeruginosa	PAO1	N/A	11782502
Furanone 56	C5H3BrO2	Salmonella enterica	Serovar Typhimurium ATCC14028	N/A	18791004
Furanone 56	C5H3BrO2	Staphylococcus epidermidis	ATCC 35984	N/A	19098295
Furanone C-30	C5H2Br2O2	Streptococcus mutans	UA159	N/A	22578766
Furanone C-30	C5H2Br2O2	Streptococcus mutans	luxSmutant	N/A	22578766
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	PA14	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (A11)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (B3)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (B8)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (B11)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (C5)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (D7)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (F5)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (F7)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	PAO1	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (A5)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (B2)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (B10)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (D10)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (E9)	N/A	28261183
Furanone C-30	C5H2Br2O2	Pseudomonas aeruginosa	Clinical isolate (F3)	N/A	28261183
Furanone F202	C5H3BrO2	Escherichia coli	O103:H2 (1153)	N/A	24391047
Furanone F202	C5H3BrO2	Escherichia coli	O103:H2 (1242)	N/A	24391047
Furanone F202	C5H3BrO2	Escherichia coli	O103:H2 (10705)	N/A	24391047
Furanone-2	C5H2Br2O2	Salmonella enterica	Serovar Typhimurium ATCC14028	N/A	18791004
Furanone-3	C5H2Br2O2	Salmonella enterica	Serovar Typhimurium ATCC14028	N/A	18791004
Furanone-5	C7H6Br2O2	Salmonella enterica	Serovar Typhimurium ATCC14028	N/A	18791004
Furanone-6	C9H10Br2O2	Salmonella enterica	Serovar Typhimurium ATCC14028	N/A	18791004
Furanone-8	C11H14Br2O2	Salmonella enterica	Serovar Typhimurium ATCC14028	N/A	18791004
Furvina	C6H3Br2NO3	Pseudomonas aeruginosa	PA14	N/A	28140677
Fusidic Acid	C31H48O6	Escherichia coli	Not Specified	Chloramphenicol acetyltransferase 3	6354181
Fusidic Acid	C31H48O6	Salmonella Typhi	Not Specified	Chloramphenicol acetyltransferase	6354181
Fusidic Acid	C31H48O6	Escherichia coli	Not Specified	Chloramphenicol acetyltransferase 3	7500366
Fusidic Acid	C31H48O6	Escherichia coli	Not Specified	Chloramphenicol acetyltransferase 3	7756272
Fusidic Acid	C31H48O6	Salmonella Typhi	Not Specified	Chloramphenicol acetyltransferase	7756272
Fusidic Acid	C31H48O6	Escherichia coli	Not Specified	Chloramphenicol acetyltransferase 3	17016423
Fusidic Acid	C31H48O6	Salmonella Typhi	Not Specified	Chloramphenicol acetyltransferase	17016423
Fusidic Acid	C31H48O6	Escherichia coli	Not Specified	Chloramphenicol acetyltransferase 3	17139284
Fusidic Acid	C31H48O6	Salmonella Typhi	Not Specified	Chloramphenicol acetyltransferase	17139284
Fusidic Acid	C31H48O6	Streptomyces sp. 	R61	Elongation factor G	19289529
Fusidic Acid	C31H48O6	Thermus thermophilus	Not Specified	Elongation factor G	19833919
Fusidic Acid	C31H48O6	Thermus thermophilus	Not Specified	Elongation factor G	20718859
Fusidic acid	C31H48O6	Staphylococcus aureus	RN1HG	N/A	23490006
Fusidic acid	C31H48O6	Staphylococcus aureus	Mu50	N/A	23490006
Fusidic acid	C31H48O6	Staphylococcus aureus	ET013 (MRSA)	N/A	23490006
Fusidic acid	C31H48O6	Staphylococcus aureus	ET041 (MRSA)	N/A	23490006
Fusidic acid	C31H48O6	Staphylococcus aureus	Mu50	N/A	26828772
FV7	C43H77N17O7	Escherichia coli	ATCC 25922	N/A	24945359
FV7	C43H77N17O7	Pseudomonas aeruginosa	ATCC 27853	N/A	24945359
G H12	C73H110N22O12	Streptococcus gordonii	DL1	N/A	26859135
G H12	C73H110N22O12	Streptococcus mitis	ATCC 6249	N/A	26859135
G H12	C73H110N22O12	Streptococcus mutans	UA159	N/A	26859135
G H12	C73H110N22O12	Streptococcus salivarius	ATCC 13419	N/A	26859135
G H12	C73H110N22O12	Streptococcus sanguinis	ATCC 10556	N/A	26859135
G H12	C73H110N22O12	Streptococcus sobrinus	6715	N/A	26859135
G10KHc	C187H326N74O41	Pseudomonas aeruginosa	Not Specified	N/A	16940063
G2	C93H166N30O18	Streptococcus gordonii	Challis (DL1)	N/A	17060534
G2	C93H166N30O18	Streptococcus mutans	UA159	N/A	17060534
G2	C93H166N30O18	Streptococcus sanguinis	NY101	N/A	17060534
G2	C93H166N30O18	Streptococcus mutans	UA140	N/A	21860239
Gallic Acid	C7H6O5	Eikenella corrodens	1073	N/A	21150103
Gallic Acid	C7H6O5	Staphylococcus aureus	UAMS-1	N/A	22242149
Gallic Acid	C7H6O5	Escherichia coli	Not Specified	N/A	25974286
Gallic Acid	C7H6O5	Streptococcus mutans	Not Specified	N/A	25974286
Gallium cation	Ga+3	Pseudomonas aeruginosa	PAO1	N/A	24958247
Gallium Nitrate	GaN3O9	Escherichia coli	Not Specified	N/A	26369125
Gallocatechin	C15H14O7	Eikenella corrodens	1073	N/A	21150103
Gallocatechin gallate	C22H18O11	Eikenella corrodens	1073	N/A	21150103
Ganciclovir	C9H13N5O4	Human herpesvirus 1 	17	Thymidine kinase	9715911
Ganciclovir	C9H13N5O4	Human herpesvirus 1 	17	DNA polymerase catalytic subunit	16173018
Ganciclovir	C9H13N5O4	Human herpesvirus 1 	17	DNA polymerase catalytic subunit	16298966
Ganciclovir	C9H13N5O4	Human herpesvirus 1 	17	DNA polymerase catalytic subunit	16705640
Garlic extract	N/A	Pseudomonas aeruginosa	PAO1	N/A	15716452
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	ATCC BAA-334	DNA gyrase subunit B	11131958
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	ATCC BAA-334	DNA gyrase subunit A	11131958
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	ATCC BAA-334	DNA topoisomerase 4 subunit A	11131958
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	ATCC BAA-334	DNA topoisomerase 4 subunit B	11131958
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	TIGR4	DNA gyrase subunit B	11131958
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	TIGR4	DNA gyrase subunit A	11131958
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	TIGR4	DNA topoisomerase 4 subunit A	11131958
Gatifloxacin	C19H22FN3O4	Streptococcus pneumoniae serotype 4	TIGR4	DNA topoisomerase 4 subunit B	11131958
